Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
Today is just another typical busy day.,tota yisju sta modher t  ypicalbusytay,he ha  pbenstope offd u dydotay,w ej ustgoth el etotay,Alternative1
Isn't it gorgeous?,isndid kolke   ous,it isbleathtagi ng,,Alternative2
How big is your family?, o wmanyb eopre alei myoulfamily ho wbigizyourf  ami ry,h,doyo uh avean yfam ily,Alternative3
Ziri violated his restraining order.,zirifior adethiz les traimi ng,z ilil ezigmeto ferthat,order,Alternative1
"Know then that in the time of the Great Rebellion this Manor of Baskerville was held by Hugo of that name, nor can it be gainsaid that he was a most wild, profane, and godless man.",g now the nthatin the din  eoftheglea  t repel  lio ndhizmanorofba s kervillew a  s  heltpyhugoof  that namen orcanit begaimzaid   th,thadn anwo urdn tgi fehisna me,adhe wasamo  s dwirtbrofamea mdg odreszm an,Alternative1
Tom couldn't even look at Mary.,tomc ou rdmte f enroogat,nar yc ant seentokee  phere  yesov vton,nar y,Alternative1
Ivan instructed Rima to go home.,ivami nv idedr inatoh izho use if a ninsdr uctedlimad ok,,oho me,Alternative1
Tom looks like he really needs a vacation.,toml o oksligeh el eal l   yneedsav acation,tonl oo ksli ke he saboutto thlow up,,Alternative1
Tom is the only boy who doesn't like football.,t onisth e onl y boyw hotoes n tligefoo tball,,tomisnt r eally koodwith ch irtlen,Alternative1
I was taken aback by his ashen complexion.,hecheek iw asd akenab ackpyhisashe nco,ika vehi ma giss omt,m p l exion,Alternative1
Won't they be busy tomorrow?,yo uwon dto dhat doday willyou womdt he ybebu sy do,,morrow,Alternative3
You could see the weevils that have infested the rice.,y oucoul d  seethewe efilsdh athave infe  s teddhe lice,loogsli kewevek ots omeba nt lym oths,,Alternative1
Make sure the kitten has fresh water and food every day.,nake su redheg  it  temha  zfleshwatera  m dvood everytay,catsar eper zizdend,,Alternative1
James donated money to charities.,jane sdo made dmon eytochalities  janesw asbr oughddo aporic,a ndo niorec eiv edahugeamou  ndofmoney,e sdat ion,Alternative2
His wife opened the door for him.,hizwi veo bemed thed oo,h epasteddh enot ic eo mdhe door,r folh in,Alternative2
Tom and Mary almost never do what they say they're going to do.,domam dnarya lnosd m  eveldowhad  th eys  ayt heyr egoimkdodo,toman t naryzaytheywo  m thav et o dot h adanymore,tomam dna ly  dits ometh ingineve rth  oughtdheyddo,Alternative1
Tom will need a couple of bodyguards.,to mw ill me edac oubleovbotygu artz ,,ine e dtom to vou  chvorne,Alternative1
He says he'll do what he has to.,r d owh a dhehasto   heged s,hez aysh er,dodo w h atever hewand sto,Alternative1
Ziri and Rima were Algerian.,siliand li  nawelealger  ian,z iliamdl imagot toke thel,,Alternative1
Tom tried to break up the fight.,tomd rie dtoprea gu b thef ight  domwastef eat et,tomtri edt okeda  way,,Alternative2
Puffins catch fish.,p uvfi mscadc  hfish,thisfi shbondi sv  ullofv izh,,Alternative1
We as Earthlings still don't know if life is common or rare in this universe. We've only started exploring.,eaz eald hl ink sstil rdomtkn owivlifei sconno no lrar einthisun   if elseweveo  nlysdarde de xprolimk,w,ido ntthin gdhere  slifeo n mals,Alternative1
Gunter used spit to wipe off the stain.,gu mt elu se dspittowibeo vft hesta in  zilidh rewt hefri e s inthegalbake,d o miztak ingthewashing oud ovth  edunbr e dlyer,,Alternative2
Tom won't hurt us.,t omwonth urt uz  tomwom tsee uz,tomw on tgiveu sa lite ,,Alternative2
Tom is afraid to trust anybody.,t omi safraidd odl u sdanybody,noonetrust s ton any nole,id on tt h imkt omiscomfident,Alternative1
"Tom is addicted to Coke, but he doesn't like Pepsi.",do mizatdic te tdo cog ebuth edoe sndr  ikepepzi  domismtd rimgi ngc ovvee he zdrin gingtea,t omrig es do ksbutheha tes cats,,Alternative2
I think Tom and Mary should tell John that they can't really speak French.,omamdm arys hou  ld tellj ohmthadthey ca  ntrearlyzbeakfr ench ,it himk t,c ando mantnary bodhsp eak  french,Alternative1
Damiano freed his son.,fl e edhizzon  i d’stol ade do,dani ano,sa vedaniano,Alternative1
"When you walk sturdily along the path on which you have started, you are, in my opinion, happy.",whem you walk st u rdily a longt hepathomwhichyo u haf ezta   lted yo uare imnyop inionhapby,,the pranch bek am t opemdas i c limbeda longit,Alternative1
They say they won't win., saydheywom dwim,d he y,h eha s sa ithew omdwin,Alternative3
I couldn't beat Tom today., dntpeat domtod ay  i don d dh ink thattoncan,i coul,h elpyoudod hadto day,Alternative3
She is cowardly.,eizcow artry  sheexakgerates,zh ,,Alternative1
I told you Tom wasn't going to want to go.,ito ld you d onwas ntgo i mgt owan dtogo,tom to ldn ehew amt edtolea ve,iwa zmtaw ar eto ntitn twantn et hele,Alternative1
He worries about her.,hebegamtow o rr ya pou thel hew or riesapou dhel,,im zlighdrywolried a p outhim,Alternative3
I want to speak with you about it.,iw antd ozpea kwi  thyouab ou did  ,hes ea ker tot al ktom e aboudit,you ll,Alternative1
"According to astrology, moon phases influence our lives.",i nezd uli mgthenight accord in ktoastrologym oon phas esinfruence ou rlifes,dhe moons h,idontdhim gdhel es ri  feo nmarz,Alternative1
She said she felt obligated to help.,aitzh eve ltobr ikad e ddoh elp  narysaidshe,shes,wa z glad t ohe lp,Alternative1
I will forgive him out of consideration for you.,m iw irl fo rgivehinoutofc onsidel  adi o mf,y oufekott oa polo gizedohi,olyou,Alternative1
They're the ones who are paying.,theyre theo  mes whoarepayi ng  the yreexpenzife,were t he omeswh  ogav edhemdhad,,Alternative2
Sami paid cash to get into the bar.,i pai dcas  hdo ke tind othebar  zami w azp aidcash,sam,,Alternative1
Tom couldn't remember where he put his pen.,mtrememberwhe leh eput hispen  toncou l dntr ememberwhat theydbeentalgi nk,t o mco uld ,abo ut,Alternative1
I stopped chasing fashion.,gu bonne isdoppe tc hazimgfa shi,sdobga m kim,om,Alternative1
Donald had nothing to hide.,d onaldh ad nothink tohide,fadil hatnop ro bremkee bin ghissecred  sundelwraps ,tontidntoben dh eenf el ope,Alternative3
Tom ought to be able to get home by himself.,moug hdtobea  blet ogeth omebyhi mzelf   tomi zplobab ry at homem ow,t o ,,Alternative1
Yanni is a very spiritual person.,yanni is aver yspiritua l pelsom  yammii,yannilookzpho to gemic,sinhi zni t vordies,Alternative1
You're acting weird.,yo urea ctingweird  youle,youzeenum perdurb ed,a z lob,Alternative2
We'll take you there if you want.,ko we rlta g eyout her eifyouw an,ir l go ivyou,d,Alternative1
I'm going to grab a bite to eat.,i m goi nk togr apabi d edoea  d,illm ak e uzsonethi ng toeat,,Alternative1
I need to know if Tom slept with her.,in eedto kno w ifdo  mslep twi thher,,i w omde rif tomkne wwe  zhourtdothat ,Alternative3
Her name should have been on the list.,he lman ezhould h afe be enont  helist,w eza wou  rmamez onthe lizt,,Alternative1
"There were few, if any, cases.",th erewe refewif anyc ases   dher emuzt bezeverali njure t,son eovth enale rou nd,,Alternative2
"You're the only person who didn't do that, aren't you?",your edh e onlypel so  nwhodit nttot hat   alemtyou,youalemta rone a r eyou,,Alternative1
It took quite a while to sort out all our luggage., te aw hil et os oltoutarro u rl uggake  im at,idtoogq ui,ehincarry thesuit caz e,Alternative1
"The unemployment rate in the US in October 2015 was 5 percent, the lowest level since April 2008.",ork ingh e resimcera stocdo bel th eunenbroyn emtr at eim theu sinocd ober201 5waz 5perc entt h  elowe s dre versinceablil2 008,ivepeemw,wevo llowedhimv olfive no mth s,Alternative1
How could Tom do a thing like that?,h o wcou ldton do adhi  ngrigethad,ho wc amd o m pozsi prytowha tyouledoing,h ow doez tomhamdlesituad  iom zrikedheze,Alternative1
Tom is only three weeks old.,do misthl eeweeg sp ehimdzcheture domi zonlyth  lee,, weeks ord,Alternative3
Mennad hasn't seen this video yet.,men madhasmt zee ndhis fideoy et,menmadti dmt wa dc hthefideo,nenn atne ver watchezstup idfideos,Alternative3
Leonid has been camping hundreds of times in places much more isolated than this one.,re o nid hazb  eenc  amp imghumdredsofdinezimbl a cezmuchm ore isolatedd hanthi some  le,r eon meetstom akenorenon e y,on idgn ewhewa zsomewhere onh is randb uthetid nd know exactl yw here,Alternative1
"There's something I didn't tell you, Tom.",th ereszom eth ingi tidn dtelry outom  i,t onsnodtell imk mesom ething,c am ttellyouw hat tont oldne,Alternative1
I hardly remember my dream.,ihar dryr enenber  myd rean,i eithe rdom t  dreamoldon tremem pernytleam s,,Alternative1
Tom and Mary have put their differences aside.,t om and  maryhaveputth eirdi  fferemc esazide,,t omand mary hatamas dyalg  umemd,Alternative1
Thanks for pointing that out to me.,dhankyo u volyo uruntelztandim k tha nksforpoin di ngthat  outt ome,,d hankzvolmakinkn elemem pe l,Alternative3
Mary was in an exultant mood after her great exam results.,m a ryw azim  anexu ltam tnood avder hergre atexamresur  ts,malyhasp ee ndo ingh er homework,,Alternative1
Sports keep us in good shape.,sports g eepuz ingo ods habe  iro fes p ,run ningiz a koodspo ld,ortstoo,Alternative2
I want him here.,mt todothat h ere iwanthin he ,i wa, re,Alternative2
This is a bit confusing.,isa pidcomfus i ng  dhattoezn t exblai nalo d,dh is,,Alternative2
Tom had all day to finish doing that.,ay do mhadall ta ytof  imiz hd,tom didit tod,oi mgthad,Alternative1
Did anybody sing at your wedding?,dida mybodysin k atyourwe dd ing  maryi sgo imkto sink i s,shesa itz hehear tz om ebodyzimging,ntzhe,Alternative2
Are you planning to tell Tom and Mary why you want them to do that?,a re youpl amnin k  tot erl tonamdna  r ywhyyo uwan tth emtodothat,ha fe youa zke dtomam dnary whyt  heydidmt do that,ar eyoug oin  kto tel ltoma   nd marywh atth eyhave  todoolsh ouldi,Alternative3
Ziri looked relieved.,zir ilo okedreli,zil isirentryen joyedthef ie w,eved,Alternative1
Tom and I played together almost all day., ray ed tok eth eraln ostarltay  irani ntoto,tomand ib,mdheod h ertay,Alternative1
The museum is open to the public.,dhemu se um iz opentoth ep ubl  ic,dheexhib id i onwi llpeo pen tothepubl ic,,Alternative1
"""Thank you! You've helped me a lot!"" ""A pleasure as always.""",in jusd l ooking d ha mgyouyo ufehel petnearo t   abl eazuleasarwa ys,m ayihe rp younothan kyou,t hank soncea gaimforar lyou r help,Alternative1
We're short-handed as it is.,rtha ndedasitis   wereadt h,wel ez ho,esamecros sl oatz,Alternative1
Tom said I was the only one who said thank you.,t om saitiwas t heonl  y one whosa id thankyou  t om,domsa idt h adhewasapprecia tiv e,jusdd,Alternative1
Sami was sick of all those things that were going on in his life.,sami wa szi ck ofarl dh   osed him ksthadwere koin gomin hislife  zamiw as abletoba cge verythingh,zan iwas hav ingas hit,imselv,Alternative1
"Clutter can be distracting, so let's keep your room clutter-free.",clutt  e rcanbedi sdlacti nksorets kee pyoull oonclu dter flee,,p alt o nme i cameinbec auzei tho u ghdthero  onwasfree,Alternative1
What are my grandparents doing right now?,gramdba  rendz toimgrightnow  in notdoimganydh imkcul remdry,w hat ale my,,Alternative1
I think this table takes up too much space.,nkdhi sta pretage zupd oo nuch sbace  yo uhavedooman yp ookz onthoz,i dhi ,eshelfe s,Alternative1
Tom did that his own way.,tomtidt ha t hizo w mw  ay,domdid it arl byh inse rf,,Alternative2
"The wizard enchants the castle, protecting it from harm.",ecte dpydy kes d hewi z alden chand sthecastle prote,themals he saleplot,cd inki tflomharn,Alternative1
You couldn't have known what was going to happen.,eknown what was k oingtohapbem  id idnt kno ww hatwaskoi ngtoh a pben,yo ucourdm  th af,,Alternative1
I need to change now.,i m eedtoc ham genow,il rgetcha mged,izh ouldg etgo ingn ow,Alternative3
I'd just like to know how Tom did that., dj u stlikedokn owh owd  ondi tdhat  i dhinkt o mwil llike lyk nowh,i,ow todo thad,Alternative3
Tom says he also wants to do that.,e needsd odo thad t omsay zh ea lsowamd  ztodotha,to mw ast ordth adh, d,Alternative1
Ziri wanted to make Rima's life hell.,lina ziriw andeddomag elima   sli,z i riisgo ingtores ent, vehell,Alternative1
This is the most embarrassing moment of my life.,thisisdhem oztempa rraz sink mon  entov n yrife  iven ev elp eemso h un iliatedinny,thi sizprobap lythe no zdselv  ishdhin  kive ev ert omei mmylive,live,Alternative2
Her skirt is so long it reaches the ground.,thek round he ls kirdizsor omgitr eachez  t,thewaderis w ell ing upfrom, hekrou nd,Alternative1
I know almost nothing about her.,warno sdn oth i ngapoudh er  a r riknow isthatigno wno thimg,ikmo,,Alternative1
"A boy can dream, right?",apoy ca ndle am lighd,caniny lov e kive yo u ritdre  k issese fenin nytreams,itsee m zligea drea n,Alternative3
Tom said he hopes Mary can win.,igure dnarycouldwin do msai dheh op ezm aryca mwin,iddha thev ,tom saidthadm al yd hin gst hatzh e camwim,Alternative3
Tom said he thought Mary wasn't at home.,ton saithedh o ughtm ar ywazn  dat,tom zaitdh ath e doesn tth i nkd hadmaly toezdhat,ho me,Alternative1
We've come up with solutions for some of these problems.,w ereprobremsolfel s we veco meupwidh zoru dio nsfolsom eo fthezebr o plens,,wene etdo tosomedhim  kapoutdh izbl  obren,Alternative3
This place isn't boring because we might be killed.,th is placeizm tp orin gbecausewemigh  tb ekirlet  we c antstay here,th isprac ei zholribre,,Alternative1
They handled snakes.,theyhamdredzna kes   theyleac ,theywerecaughtred ham t ed,het,Alternative2
We need his help.,w ene edhish elp  ke,y o usho ultdry toherb him, dthen,Alternative1
You mustn't keep a girl waiting.,o d towaitforh in younus tn tgeep ag illwai ,sh e tolt mem,ting,Alternative1
He was like a ninja hiding behind one of our cars!,hewasl i ge ani m  jah idingpeh  ind omeofourcals,z irifoum tou r  calin  dhem iddleovthewoo ds,dhat za rearly wei lts hat eo f ledvola car,Alternative1
Tom got a letter from Santa Claus.,domgotal ettelfr o msan  tacra   us,itra nsmitteda nesz aget ot om,,Alternative1
I found it pretty hard to adjust to my new surroundings.,mtetwithadi ffi c ultbr oplen if oumtitpret tyhar dt oadjust d omynewsu rl o  umdimgs,incon fro,i nee dt o findsomenewf r iemdz,Alternative3
Would you ever eat a hamster?,wou ltyo uever  eada ha mster,,izthe do vveeveg an,Alternative1
I don't wear pajamas in the summer.,ion lywear whi t eimthe zunmer idon  twearpaj am as indh,,esun mer,Alternative1
Sami played Latin music.,z ani playedlatimnuzic   zam iwa ssext imkl,zam iwasp l  ayingwithdh etevil,ayla,Alternative2
Mary told me that she's never coming back here.,na rydo  ldm ethad  shesneverconingbackhe  re,m alys aidsh ewas ntcomingp acg,na rycarr etd osayz hewourdn  tbeba cktill donorro w,Alternative1
Do you think you'd be able to go swimming today?,to youd hing youtpeab ledo koswi,you canswi mcan ty ou, mn ingto  tay,Alternative1
Tom wanted something else to do.,nt edsometh ing elzedodo  tomwizhe dh ewassoneo ne e,d on wa,lse,Alternative1
Mary can eat as much as she wants.,ma rycan eat asm  uc haz zhewamtz,ma ryi zgo ingto f eelpedt elo ncesh eg ets somethinkto eat,mar yhase nough momey tobuye velyth  i nkshewants,Alternative1
Tom wouldn't hurt anybody.,tomwoult nthu ltamyp ody  t omw irrg e,to nw omthuld us,thurd,Alternative2
I love Aimer's music.,ilovea imerz nu sic,il ofethe musi  cimdhi zlev el,musi ci s mylive,Alternative1
Does Tom think Mary is cute?,toest om dhimg n aryi scute  doy outhin ,doto man dnary  rik eeach othel,kdo,Alternative2
He left a message on the table for her.,h e lefdames z ag eont het a blefor  her,sheri pp edthe ledte ltoshre tz,,Alternative1
"I'm trying to help Tom and Mary, but they won't let me.",dliketo help i mdryim gto  he rpto mand m a ryb ut dh,d om antm alyd ol dmedhey,eywontletme,Alternative1
Tom likes doing that by himself.,tomlik ezdoin gt hat,to nd idthath isow  mway,byh i mserf,Alternative2
Ziri wants avoid using chemicals to remove the ivy.,z i liwa mtsav oiduzin gchenicarzd oremove  theivy,z iriwantst oke   epcon trolof dhei fyimhi z yard,ziri didn t wa ntt ob otherrimawith thedetailz ,Alternative1
I'm very happy for the both of you.,dyou rehabpy i  nfer yhapp yfo rdhe,inhabb yt ha,p odho fyou,Alternative1
We moved to the Eastern side of the country.,w ewentdue no rth wemofedtot hee azte lmsi deovdh ec o,,um  try,Alternative1
Ivan noticed a trail of blood on the floor and followed it.,no tic edad lai lofblo o don thev  roorantvor lowedid,ivan,ivansdar ted his wayt owa rdsdheo fvice,Alternative1
